Level,Risk_factor,measure,year_gbd,anal_year,val,lower,upper,Group,Overarching_group
,High LDL cholesterol*,Deaths,2010,1990,1945920.0,1625929.0,2318054.0,High LDL cholesterol*,Metabolic risks
,High systolic blood pressure,Deaths,2010,1990,7293185.0,6701203.0,7859894.0,High systolic blood pressure,Metabolic risks
,High body-mass index,Deaths,2010,1990,1963549.0,1590282.0,2345133.0,High body-mass index,Metabolic risks
,Low bone mineral density,Deaths,2010,1990,103270.0,90672.0,124230.0,Low bone mineral density,Metabolic risks
,Diet low in fruits,Deaths,2010,1990,3667202.0,2870267.0,4394152.0,Dietary risks,Behavioural risks
,Diet low in vegetables,Deaths,2010,1990,1454057.0,978665.0,1924334.0,Dietary risks,Behavioural risks
,Diet low in whole grains,Deaths,2010,1990,1230276.0,958136.0,1489812.0,Dietary risks,Behavioural risks
,Diet low in nuts and seeds,Deaths,2010,1990,1914209.0,1216363.0,2487874.0,Dietary risks,Behavioural risks
,Diet low in milk,Deaths,2010,1990,68150.0,20479.0,114435.0,Dietary risks,Behavioural risks
,Diet high in red meat,Deaths,2010,1990,26439.0,7374.0,45232.0,Dietary risks,Behavioural risks
,Diet high in processed meat,Deaths,2010,1990,731675.0,158044.0,1257423.0,Dietary risks,Behavioural risks
,Diet high in sugar sweetened beverages,Deaths,2010,1990,183799.0,127938.0,240028.0,Dietary risks,Behavioural risks
,Diet low in fiber,Deaths,2010,1990,584144.0,260065.0,914729.0,Dietary risks,Behavioural risks
,Diet low in calcium,Deaths,2010,1990,82305.0,57324.0,108535.0,Dietary risks,Behavioural risks
,Diet low in seafood omega-3 fatty acids,Deaths,2010,1990,1043085.0,757418.0,1327627.0,Dietary risks,Behavioural risks
,Diet low in polyunsaturated fatty acids,Deaths,2010,1990,448065.0,213262.0,687396.0,Dietary risks,Behavioural risks
,Diet high in trans fatty acids,Deaths,2010,1990,367461.0,265936.0,467609.0,Dietary risks,Behavioural risks
,Diet high in sodium,Deaths,2010,1990,2245355.0,1459900.0,2966107.0,Dietary risks,Behavioural risks
,Occupational risks,Deaths,2010,1990,811146.0,623674.0,1010107.0,Occupational risks,Environmental/occupational risks
,Occupational carcinogens,Deaths,2010,1990,72073.0,50753.0,101233.0,Occupational risks,Environmental/occupational risks
,Occupational asthmagens,Deaths,2010,1990,42151.0,24425.0,76872.0,Occupational risks,Environmental/occupational risks
,"Occupational particulate matter, gases, and fumes",Deaths,2010,1990,275647.0,121774.0,429427.0,Occupational risks,Environmental/occupational risks
,Occupational noise,Deaths,2010,1990,0.0,0.0,0.0,Occupational risks,Environmental/occupational risks
,Occupational injuries,Deaths,2010,1990,421275.0,329209.0,529004.0,Occupational risks,Environmental/occupational risks
,Unsafe water source,Deaths,2010,2010,116126.0,7518.0,233136.0,"Unsafe water, sanitation, and handwashing",Environmental/occupational risks
,Unsafe sanitation,Deaths,2010,2010,244106.0,6027.0,478186.0,"Unsafe water, sanitation, and handwashing",Environmental/occupational risks
,Ambient particulate matter pollution,Deaths,2010,2010,3223540.0,2828854.0,3619148.0,Air pollution,Environmental/occupational risks
,Household air pollution from solid fuels,Deaths,2010,2010,3478773.0,2638548.0,4386590.0,Air pollution,Environmental/occupational risks
,Ambient ozone pollution,Deaths,2010,2010,152434.0,52272.0,267431.0,Air pollution,Environmental/occupational risks
,Other environmental risks,Deaths,2010,2010,773030.0,640893.0,929935.0,Other environmental risks,Environmental/occupational risks
,Residential radon,Deaths,2010,2010,98992.0,13133.0,215237.0,Other environmental risks,Environmental/occupational risks
,Lead exposure,Deaths,2010,2010,674038.0,575858.0,779314.0,Other environmental risks,Environmental/occupational risks
,Suboptimal breastfeeding,Deaths,2010,2010,544817.0,338453.0,775077.0,Child and maternal malnutrition,Behavioural risks
,Iron deficiency,Deaths,2010,2010,119608.0,93261.0,139985.0,Child and maternal malnutrition,Behavioural risks
,Vitamin A deficiency,Deaths,2010,2010,119762.0,61723.0,191846.0,Child and maternal malnutrition,Behavioural risks
,Zinc deficiency,Deaths,2010,2010,97330.0,17575.0,190527.0,Child and maternal malnutrition,Behavioural risks
,Tobacco,Deaths,2010,2010,6297287.0,5395769.0,7006942.0,Tobacco,Behavioural risks
,Smoking,Deaths,2010,2010,5695349.0,4755779.0,6421611.0,Tobacco,Behavioural risks
,Second-hand smoke,Deaths,2010,2010,601938.0,447705.0,745328.0,Tobacco,Behavioural risks
,High alcohol use,Deaths,2010,2010,2735511.0,2464575.0,3006459.0,High alcohol use,Behavioural risks
,Drug use,Deaths,2010,2010,157805.0,124639.0,209873.0,Drug use,Behavioural risks
,High fasting plasma glucose,Deaths,2010,2010,3356271.0,2917520.0,3782483.0,High fasting plasma glucose,Metabolic risks
,High LDL cholesterol*,Deaths,2010,2010,2018811.0,1572853.0,2479097.0,High LDL cholesterol*,Metabolic risks
,High systolic blood pressure,Deaths,2010,2010,9395860.0,8579630.0,10147805.0,High systolic blood pressure,Metabolic risks
,High body-mass index,Deaths,2010,2010,3371232.0,2817774.0,3951127.0,High body-mass index,Metabolic risks
,Low bone mineral density,Deaths,2010,2010,187586.0,140636.0,219906.0,Low bone mineral density,Metabolic risks
,Diet low in fruits,Deaths,2010,2010,4902242.0,3818356.0,5881561.0,Dietary risks,Behavioural risks
,Diet low in vegetables,Deaths,2010,2010,1797254.0,1205059.0,2394366.0,Dietary risks,Behavioural risks
,Diet low in whole grains,Deaths,2010,2010,1725812.0,1342896.0,2067224.0,Dietary risks,Behavioural risks
,Diet low in nuts and seeds,Deaths,2010,2010,2471823.0,1559603.0,3226994.0,Dietary risks,Behavioural risks
,Diet low in milk,Deaths,2010,2010,100951.0,29728.0,171340.0,Dietary risks,Behavioural risks
,Diet high in red meat,Deaths,2010,2010,38092.0,10749.0,65727.0,Dietary risks,Behavioural risks
,Diet high in processed meat,Deaths,2010,2010,840857.0,188952.0,1460279.0,Dietary risks,Behavioural risks
,Diet high in sugar sweetened beverages,Deaths,2010,2010,299521.0,212310.0,403716.0,Dietary risks,Behavioural risks
,Diet low in fiber,Deaths,2010,2010,742888.0,334379.0,1166933.0,Dietary risks,Behavioural risks
